Name,TotalConfirmed,TotalDeaths,NewConfirmed,NewDeaths,survivors,Fatality_ratio,Region,Date
United Arab Emirates,969097,2325,1500,0,966772,0.24,Middle_East,2022-07-15T15:20:53.805Z
United Kingdom,23280870,182262,192424,864,23098608,0.78,Other,2022-07-15T15:20:53.805Z
United States of America,89149655,1022824,203379,986,88126831,1.15,Other,2022-07-15T15:20:53.805Z
Uruguay,965370,7373,0,0,957997,0.76,Other,2022-07-15T15:20:53.805Z
Uzbekistan,241953,1637,71,0,240316,0.68,Other,2022-07-15T15:20:53.805Z
Vanuatu,11700,14,3,0,11686,0.12,Other,2022-07-15T15:20:53.805Z
Venezuela (Bolivarian Republic),528785,5742,0,0,523043,1.09,Other,2022-07-15T15:20:53.805Z
Viet Nam,10758189,43090,932,0,10715099,0.4,Other,2022-07-15T15:20:53.805Z
Yemen,11832,2149,0,0,9683,18.16,Middle_East,2022-07-15T15:20:53.805Z
Zambia,327102,4008,0,0,323094,1.23,Other,2022-07-15T15:20:53.805Z
Zimbabwe,256047,5566,66,1,250481,2.17,Other,2022-07-15T15:20:53.805Z
